Project,Year,Date,Site,Treatment,PlotID,Individual_nr,ID,Functional_group,Taxon,Trait,Value,Elevation_m,Latitude_N,Longitude_E
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,Plant_Height_cm,3,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,Wet_Mass_g,0.3441,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,Dry_Mass_g,0.076,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,Leaf_Thickness_mm,0.395,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,Leaf_Area_cm2,8.025,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,SLA_cm2_g,105.5921052631579,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,LDMC,0.2208660273176402,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,C_percent,36.57224438578343,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,N_percent,3.132710424519644,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,CN_ratio,11.674313750652919,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,dN15_permil,4.48832120895386,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,dC13_permil,-27.5795606231689,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,P_percent,0.41658412193853633,NA,NA,NA
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,vascular,equisetum arvense,NP_ratio,7.519994785067325,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AEC8296,vascular,silene acaulis,Plant_Height_cm,2,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AEC8296,vascular,silene acaulis,Leaf_Thickness_mm,0.12000000000000001,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,Plant_Height_cm,3,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,Wet_Mass_g,0.01145,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,Dry_Mass_g,0.004333333333333333,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,Leaf_Thickness_mm,0.16066666666666665,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,Leaf_Area_cm2,0.3356666666666666,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,SLA_cm2_g,77.46153846153845,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,LDMC,0.37845705967976706,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,C_percent,44.94,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,N_percent,1.1,NA,NA,NA
